@relation data

@attribute id string
@attribute 3265 numeric
@attribute 7529 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 5604 numeric
@attribute 3845 numeric
@attribute 8660 numeric
@attribute 4893 numeric
@attribute 2885 numeric
@attribute 3667 numeric
@attribute 5595 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
G06,0.2475,2.1198,0.3634,1.6383,0.4621,1.0676,0.3493,3.2505,1.4111,0.2706,0.9954,1.0133,1.6557,BRCACancer
G07,0.3244,2.4184,0.3124,1.3366,0.3964,1.0758,0.2705,2.9134,1.4049,0.0433,0.9301,0.5995,1.5305,Control
G08,0.3152,2.3551,0.3214,1.6348,0.532,1.3349,0.4724,3.0497,1.5931,0.2226,1.107,0.875,1.7284,Control
G09,0.3483,2.4724,0.3868,1.146,0.5028,1.0393,0.3936,2.8129,1.3162,0.1602,0.8516,0.6712,1.5917,Control
G10,0.1441,2.1998,0.1762,1.3475,0.3597,1.1482,0.0781,2.8385,1.1674,0.151,0.5272,0.7447,1.5889,BRCACancer
G11,0.2098,1.655,0.056,0.8026,0.3376,0.8763,-0.0155,2.2378,0.9951,0.0961,0.5111,0.3518,1.0845,BRCACancer
G12,0.2763,2.192,0.2951,1.486,0.4058,0.9977,0.3916,3.1017,1.3327,0.1634,0.7841,0.9123,1.5385,BRCACancer
H01,0.3303,2.0553,0.3164,1.1386,0.4651,0.9975,0.1878,2.5849,1.3024,0.2381,0.7772,0.6814,1.3328,Control
H02,0.4494,2.4188,0.3778,1.3044,0.5287,1.0932,0.4595,2.789,1.494,0.1557,0.9747,0.5207,1.6217,Control
H03,0.1919,2.303,0.1942,1.277,0.5096,1.0281,0.1362,2.8511,1.2683,0.1408,0.8385,0.7699,1.5129,Control
H04,0.4173,2.5021,0.4101,1.4816,0.6061,1.1686,0.4392,2.7691,1.589,0.126,1.064,0.8062,1.6879,Control
H06,0.4358,2.2571,0.4047,1.3464,0.509,1.022,0.4622,3.1971,1.5405,0.2261,0.9651,0.7549,1.6201,Control
H07,0.18,2.3306,0.1893,1.3941,0.4473,1.1371,0.2264,2.4745,1.357,0.0803,0.8295,0.6394,1.615,BRCACancer
H08,0.2464,2.2597,0.346,1.4705,0.5205,1.1985,0.7728,2.8667,1.4697,0.0595,0.6828,0.6206,1.635,BRCACancer
H09,0.2424,1.5954,0.2094,1.2244,0.4354,0.8779,0.4492,1.3424,0.9356,0.1731,0.5096,0.6383,1.2553,BRCACancer
H10,0.0222,2.2491,0.1433,1.3223,0.4967,0.9568,0.1626,1.8732,1.3691,0.2097,0.7096,0.5261,1.4306,BRCACancer
H11,0.2127,1.8868,0.1798,1.6143,0.3419,0.856,0.4718,3.3068,1.1211,0.219,0.796,0.8186,1.4447,BRCACancer
H12,0.4181,2.2318,0.3487,1.6645,0.587,1.3876,0.2075,3.2605,1.4869,0.1633,0.9571,1.1581,1.6617,BRCACancer
I01,0.3107,2.3051,0.3825,1.6864,0.5918,1.3506,0.3993,3.2644,1.4849,0.203,1.0045,1.3621,1.862,Control
I02,0.2647,2.0888,0.2008,1.2114,0.4661,0.8553,0.1837,2.3472,1.271,0.2611,0.7395,1.0124,1.435,Control
I03,0.2607,1.8606,0.2542,1.1271,0.2919,0.8487,0.1909,2.4274,1.0194,0.0842,0.7177,0.4679,1.2953,Control
I04,0.4896,2.5223,0.4507,1.6314,0.4468,1.1816,0.4514,3.4661,1.4228,0.2567,1.1978,0.778,1.6412,Control
I05,0.418,2.3444,0.529,1.3892,0.3723,0.8163,0.4239,2.9833,1.4531,0.1584,1.1647,0.5786,1.5299,Control
I06,0.4629,2.3615,0.3284,1.5398,0.367,0.9622,0.5522,3.1513,1.3088,0.1532,1.0061,0.7632,1.5878,Control
I07,0.47,2.3792,0.6133,1.8495,0.6453,1.0879,0.5093,3.0094,1.6861,0.0899,1.2798,1.0705,1.7326,Control
I08,0.3559,2.2544,0.3803,1.8086,0.3947,1.0423,0.3161,3.1672,1.392,0.2909,0.9807,1.1109,1.5565,Control
I09,0.1799,2.3158,0.3012,1.4184,0.3756,0.9957,0.2075,2.3858,1.4161,0.1762,0.9601,0.6176,1.5715,Control
I10,0.3711,2.4275,0.5222,1.7226,0.5776,1.2482,0.4006,3.233,1.518,0.2751,0.9846,1.0236,1.6695,Control
I11,0.2156,1.7011,0.0948,1.1164,0.3571,0.7504,0.1204,2.8817,1.1356,0.2274,0.6904,0.6389,1.1732,Control
I12,0.3881,2.2523,0.2902,1.493,0.4247,1.0733,0.2669,2.8916,1.339,0.3019,0.7949,0.7692,1.5468,Control
I13,0.4475,2.4674,0.3289,1.6473,0.3696,1.0459,0.3854,3.0695,1.3455,0.1827,1.0031,0.7672,1.6513,Control
J01,0.4141,2.2614,0.3528,1.0688,0.4711,0.9639,0.3812,2.6095,1.3044,0.0541,0.8939,0.618,1.5201,Control
J02,0.3989,2.4332,0.3654,1.3303,0.4939,0.8064,0.3847,2.6104,1.3606,0.199,0.919,0.733,1.5565,Control
J03,0.62,2.246,0.5268,1.7259,0.4857,1.4094,0.4327,3.5068,1.3907,0.1781,1.1855,1.0428,1.8046,Control
J04,0.4601,2.5108,0.5031,1.565,0.4767,1.2009,0.5642,3.1418,1.6601,0.2487,1.1391,0.8675,1.8441,Control
J05,0.2213,2.0281,0.3503,1.3707,0.7248,1.0256,0.3332,2.0781,1.7168,0.2473,0.9246,0.9807,1.8449,Control
J06,0.1883,2.2773,0.3351,1.675,0.583,1.0144,0.2693,2.4874,1.3771,0.1511,0.75,1.0735,1.6726,Control
J07,0.4878,2.5577,0.4756,1.8815,0.5797,1.3813,0.649,3.3904,1.7443,0.3562,1.283,1.0661,1.8376,Control
J08,0.3595,2.3539,0.363,1.4552,0.4996,1.0918,0.2747,2.5627,1.5427,0.1619,0.899,0.7998,1.7792,Control
J09,0.2406,2.1732,0.2118,1.4138,0.4068,0.8461,0.1932,2.3178,1.1119,0.0717,0.8722,0.6682,1.4225,Control
J10,0.3844,2.3176,0.4327,1.6929,0.7835,1.5484,0.4277,2.8962,1.7731,0.269,1.0017,1.1763,1.9667,Control
J11,0.4151,2.4858,0.4615,1.5349,0.7227,1.3614,0.3954,2.5257,1.6578,0.1126,0.9351,0.8792,1.9456,Control
J12,0.2658,2.2311,0.3184,1.2976,0.6205,1.1115,0.1786,2.5248,1.4094,0.1112,0.7948,0.9898,1.5212,Control
K01,0.4469,2.5715,0.5087,1.8725,0.8154,1.5914,0.679,3.2992,1.9642,0.1963,1.0931,1.2488,1.9851,BRCACancer
K02,0.4139,2.4515,0.4092,1.7333,0.682,1.4461,0.525,3.2498,1.7374,0.3277,1.127,1.0762,1.7614,BRCACancer
K03,0.2243,2.2668,0.393,1.5945,0.6238,1.2276,0.1225,2.8864,1.4173,0.1285,0.8177,1.0944,1.5807,BRCACancer
K04,0.4234,2.3869,0.4847,1.6696,0.716,1.3447,0.4534,3.0262,1.6918,0.1791,1.1272,1.0766,1.9174,BRCACancer
K05,0.4743,2.0869,0.517,1.3307,0.6282,1.0267,0.5305,2.4177,1.6587,0.1126,1.0209,0.7797,1.7917,Control
AA_RR-849,0.3387,2.5653,0.2912,1.7966,0.5386,1.2552,0.5264,3.2103,1.5403,0.1391,1.0829,0.6903,1.5871,BRCACancer
AE_RR-3300,0.3328,1.7077,0.2831,1.4566,0.482,1.5277,0.5047,2.0453,1.3783,0.2663,0.7977,1.0971,1.3921,Control
AF_RR-3276,0.3068,2.0923,0.1813,1.5101,0.6517,0.8941,0.1041,3.1658,1.191,0.1547,0.7827,0.5662,1.4127,Control
AG_RR-3298,0.426,2.0024,0.3637,1.4728,0.5449,1.308,0.3736,2.8643,1.6466,0.1172,0.7294,0.719,1.698,Control
AH_RR-3295,0.3085,2.2845,0.2989,1.4684,0.3991,1.3784,0.1903,2.7845,1.4735,0.2601,0.7538,0.8664,1.5767,Control
AI_RR-3291,0.3864,2.5282,0.3836,1.4685,0.5241,0.9398,0.4507,2.8256,1.3893,0.1782,1.1901,0.9763,1.6275,Control
AJ_RR-3296,0.3782,2.3629,0.3841,1.4438,0.4559,1.2634,0.7202,2.5737,1.2596,0.1762,0.8249,0.7471,1.7305,Control
AM_RR-1949,0.3511,2.1694,0.4063,1.6466,0.4978,1.4443,0.4476,2.7465,1.3673,0.0871,0.8321,0.8818,1.6147,Control
AN_RR-3297,0.3816,2.3081,0.3935,1.7825,0.3819,1.1577,0.3734,2.9561,1.4972,0.1373,0.879,0.782,1.6229,Control
