@relation data

@attribute id string
@attribute 5437 numeric
@attribute 5434 numeric
@attribute 7702 numeric
@attribute 5435 numeric
@attribute 6621 numeric
@attribute 661 numeric
@attribute 171568 numeric
@attribute 55290 numeric
@attribute 6619 numeric
@attribute 6908 numeric
@attribute 11178 numeric
@attribute 55814 numeric
@attribute 55703 numeric
@attribute 5440 numeric
@attribute 11128 numeric
@attribute 10621 numeric
@attribute 5451 numeric
@attribute 10302 numeric
@attribute 55718 numeric
@attribute 6618 numeric
@attribute 5441 numeric
@attribute 6617 numeric
@attribute Class {Control,BRCACancer}

@data
H07,0.7248,0.8171,0.6928,0.2758,0.1249,0.3585,0.3059,0.3478,1.3021,1.0295,-0.1668,0.7486,0.2747,0.7763,0.4294,0.6744,0.3951,0.5767,0.9322,0.2997,0.4414,0.4925,BRCACancer
H08,0.6516,0.8804,0.4508,0.3945,0.1112,0.2844,0.0802,0.2446,1.0752,0.8602,-0.0545,0.5822,0.1198,0.7117,0.383,0.4325,0.3512,0.4914,0.613,0.3214,0.5636,0.2421,BRCACancer
H09,0.553,0.5019,0.1269,0.3193,0.1537,0.2442,0.1054,-0.0269,0.7251,0.7968,-0.0791,0.7422,0.055,0.259,0.1958,0.1862,0.4781,0.2731,0.6103,0.1221,0.2614,0.2309,BRCACancer
H10,0.6706,0.6752,0.2667,0.256,0.1338,0.2897,0.1764,0.2761,1.1038,0.8693,-0.1229,0.6749,0.1344,0.4518,0.2548,0.3884,0.3997,0.4698,0.7242,0.1294,0.459,0.226,BRCACancer
H11,0.8389,0.7087,0.3953,0.4655,0.0708,0.5448,0.2967,0.3579,0.9398,1.0372,-0.0568,0.8312,0.1227,0.9753,0.2961,0.3559,0.4204,0.5159,0.6052,0.2682,0.515,0.2861,BRCACancer
H12,0.9977,0.9514,0.7983,0.6869,0.15,0.6082,0.5234,0.5507,1.3126,1.3057,-0.067,1.1894,0.4207,0.9385,0.7171,0.7342,0.4507,0.8544,0.9053,0.5634,0.8093,0.4368,BRCACancer
I01,0.9419,0.9539,0.6228,0.5406,0.2344,0.6954,0.3712,0.4879,1.369,1.2705,-0.071,1.2278,0.3435,1.0565,0.7463,0.569,0.5911,0.6034,0.8627,0.4485,0.8501,0.3531,Control
I02,0.5761,0.6731,0.3783,0.2998,0.0183,0.4835,0.323,0.4354,1.1033,0.9191,-0.1375,0.9361,0.1758,0.6517,0.4232,0.3981,0.5095,0.4715,0.7357,0.2092,0.6643,0.2916,Control
I03,0.7216,0.7126,0.1583,0.3213,0.148,0.3528,0.2156,0.3816,0.8861,0.7982,-0.0738,0.6125,0.1001,0.596,0.2464,0.3334,0.2632,0.525,0.6731,0.3753,0.614,0.3569,Control
I04,0.9112,1.1285,0.582,0.6385,0.2397,0.6328,0.5558,0.6986,1.2441,1.1391,-0.0014,0.8552,0.3234,0.8625,0.5638,0.5254,0.4045,0.8711,0.9837,0.7506,1.1874,0.5176,Control
I05,0.6632,1.0563,0.6248,0.5841,0.215,0.4477,0.4669,0.6185,1.0646,1.0032,5e-04,0.7857,0.2048,0.7218,0.6161,0.3845,0.2728,0.6283,0.8626,0.6666,1.1736,0.3736,Control
I06,0.8523,1.1249,0.4255,0.5635,0.1971,0.5953,0.4193,0.6095,1.0842,1.0665,-0.044,0.8938,0.2346,0.8781,0.5199,0.3929,0.3433,0.7251,0.7977,0.6127,1.0276,0.3228,Control
I07,0.8594,1.0598,0.7941,0.7167,0.2724,0.8083,0.7499,0.6726,1.5668,1.3545,-0.027,1.2346,0.4409,0.9746,0.8516,0.6297,0.4428,0.9879,1.1635,0.5978,1.0131,0.5328,Control
I08,1.2293,0.9771,0.6748,0.6256,0.1779,0.7133,0.4039,0.6243,1.1687,1.4074,-0.0938,1.24,0.2889,1.1038,0.5432,0.5744,0.4816,0.7579,0.9688,0.4817,0.8273,0.5533,Control
I09,0.8056,0.8841,0.2939,0.406,0.1748,0.3369,0.2499,0.4476,0.9895,0.9857,-0.0914,0.692,0.2202,0.7889,0.3227,0.4498,0.3479,0.5737,0.8326,0.317,0.7029,0.3492,Control
I10,1.0469,1.0913,0.6939,0.609,0.2008,0.7277,0.5144,0.6851,1.2584,1.311,-0.0511,1.1208,0.3866,1.0406,0.5912,0.6699,0.4553,0.8781,1.0002,0.4783,0.9495,0.5818,Control
I11,0.6323,0.6078,0.2929,0.372,-0.0184,0.4261,0.1159,0.3303,0.6452,0.7948,-0.1231,0.6412,-0.0688,0.7183,0.2427,0.2349,0.2988,0.4335,0.5348,0.2191,0.6934,0.2876,Control
I12,0.9929,0.8545,0.5715,0.6238,0.0962,0.58,0.4351,0.5525,1.2059,1.0603,-0.0801,0.8994,0.2997,0.7733,0.5555,0.6301,0.2966,0.7062,0.8902,0.3999,0.7476,0.4061,Control
I13,1.0692,0.9337,0.5552,0.5134,0.1753,0.6145,0.4442,0.624,1.1826,1.0913,-0.0165,0.8398,0.2493,0.8832,0.5607,0.4297,0.3597,0.6802,0.9042,0.5277,1.0885,0.3555,Control
J01,0.5094,0.9553,0.4259,0.5419,0.146,0.4517,0.2579,0.349,0.996,0.6874,-0.0095,0.6723,0.1776,0.5533,0.3301,0.2886,0.2305,0.4413,0.6004,0.3328,0.9915,0.3064,Control
J02,0.7047,1.046,0.558,0.6453,0.1555,0.5442,0.4386,0.4352,1.2702,0.9178,-0.0412,0.7668,0.2001,0.9141,0.4274,0.3801,0.3556,0.5833,0.8159,0.4437,0.8158,0.4643,Control
J03,1.1123,1.1789,0.8434,0.7931,0.1831,0.8205,0.6058,0.7419,1.2342,1.3565,0.0381,1.1517,0.4147,1.3806,0.7758,0.5846,0.4409,0.837,0.9363,0.6752,1.2428,0.4443,Control
