@relation data

@attribute id string
@attribute 842 numeric
@attribute 1147 numeric
@attribute 2932 numeric
@attribute 7249 numeric
@attribute 5170 numeric
@attribute 4193 numeric
@attribute 1027 numeric
@attribute 2931 numeric
@attribute 1026 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 10000 numeric
@attribute 84335 numeric
@attribute 572 numeric
@attribute Class {Control,BRCACancer}

@data
G10,0.4846,0.9323,0.4135,0.1945,0.5995,0.8216,1.6995,0.8275,1.1011,0.4753,0.5848,0.4191,0.0381,0.1087,BRCACancer
G11,0.2825,0.6621,0.4352,0.0676,0.3352,0.7165,1.0041,0.6456,0.9489,0.3614,0.4077,0.281,-0.051,0.1685,BRCACancer
G12,0.6762,0.9414,0.5628,0.2986,0.6625,0.9439,1.3998,0.9064,1.4344,0.4902,0.6856,0.4299,0.2158,0.0757,BRCACancer
H01,0.5305,0.8034,0.4109,0.1806,0.6771,0.944,1.3506,1.0658,1.1104,0.4125,0.5712,0.3878,0.0961,0.1621,Control
H02,0.5915,0.9501,0.2745,0.331,0.7368,1.0862,1.9373,1.1306,1.0601,0.592,0.7519,0.2535,0.1948,0.2111,Control
H03,0.5614,1.1096,0.4212,0.228,0.6687,0.9796,1.9106,1.0146,0.7526,0.5371,0.615,0.4072,0.1004,0.1633,Control
H04,0.6564,1.3205,0.4434,0.3093,0.737,1.2812,2.3589,1.2096,0.9918,0.6757,0.8108,0.4212,0.2277,0.2476,Control
H06,0.5832,1.0447,0.3608,0.3361,0.7082,1.1562,1.5383,1.2372,1.3347,0.6559,0.7382,0.2887,0.3258,0.2935,Control
H07,0.5671,1.0929,0.4267,0.2113,0.5674,0.9522,2.2584,0.8575,0.8645,0.525,0.668,0.4311,0.1127,0.1388,BRCACancer
H08,0.6076,1.0473,0.3511,0.2659,0.6508,1.137,1.8017,1.0102,1.3963,0.5335,0.5863,0.2587,0.2002,0.2421,BRCACancer
H09,0.2812,0.4949,0.6031,0.2676,0.5092,0.7137,1.4303,0.4345,1.0677,0.3798,0.4779,0.7952,0.1109,0.1759,BRCACancer
H10,0.3045,0.7626,0.4461,0.1634,0.6032,0.8559,1.4745,0.7429,1.0399,0.429,0.5427,0.4292,0.0304,0.0327,BRCACancer
H11,0.7482,0.8192,0.501,0.255,0.6603,0.7491,1.6667,0.7439,1.2993,0.5195,0.5423,0.448,0.0383,0.1724,BRCACancer
H12,0.8393,1.4553,0.4782,0.2491,0.7098,1.2412,2.0437,1.1931,1.4251,0.6417,0.6955,0.4925,0.2218,0.1424,BRCACancer
I01,0.7006,1.1997,0.7872,0.3506,0.6801,1.3181,2.0776,1.0821,1.688,0.6679,0.7111,0.4871,0.2601,0.2446,Control
I02,0.5327,0.78,0.6411,0.2065,0.5661,0.8753,1.5649,0.6503,0.9923,0.4167,0.5456,0.6522,0.0551,0.1693,Control
I03,0.4012,0.6636,0.3009,0.2382,0.6436,0.7213,1.2149,0.688,1.1623,0.4284,0.4834,0.3051,0.041,0.2035,Control
I04,0.9209,1.2342,0.4026,0.3544,0.8101,1.1205,1.9912,1.3946,1.2109,0.695,0.8892,0.3128,0.3591,0.3084,Control
I05,0.8893,1.0759,0.3277,0.3708,0.7057,0.9568,1.7428,1.302,1.1727,0.7397,0.779,0.3167,0.2619,0.1419,Control
I06,0.7115,1.0592,0.356,0.3205,0.6946,1.0064,1.9273,1.248,1.0875,0.6583,0.7615,0.3328,0.2856,0.2026,Control
I07,0.9718,1.3076,0.5309,0.4619,0.8844,1.258,1.9955,1.3734,1.0001,0.8029,0.8966,0.4471,0.3902,0.2663,Control
I08,0.9407,1.1801,0.5897,0.2569,0.6743,1.0261,1.9341,1.0948,1.2505,0.605,0.7233,0.5743,0.2185,0.2142,Control
I09,0.7909,1.0923,0.3748,0.2527,0.6145,0.9276,1.5643,0.9338,1.3114,0.576,0.6188,0.3792,0.134,0.2289,Control
I10,0.7981,1.3981,0.5781,0.3049,0.7983,1.23,1.8422,1.1852,1.4118,0.6516,0.7789,0.4583,0.2232,0.2145,Control
I11,0.6097,0.7362,0.4295,0.117,0.5133,0.6453,1.0534,0.7415,0.937,0.3561,0.3864,0.4447,0.0413,0.1635,Control
I12,0.7251,1.1185,0.3657,0.2426,0.6744,0.9583,1.8875,1.0239,1.1227,0.4871,0.6702,0.3872,0.1073,0.3041,Control
I13,0.6927,1.0414,0.4144,0.3336,0.6639,1.0733,2.0069,1.102,0.8718,0.6782,0.7599,0.4502,0.2369,0.1708,Control
J01,0.5021,0.7824,0.3366,0.3077,0.6705,0.9052,1.5308,1.0481,0.9603,0.5781,0.6042,0.3263,0.1937,0.284,Control
J02,0.5053,0.8129,0.363,0.2519,0.6548,0.8375,1.8451,1.0415,0.7698,0.5911,0.7046,0.3698,0.2666,0.2514,Control
J03,1.0047,1.3011,0.4982,0.323,0.7053,1.2283,2.1971,1.3534,1.5045,0.7972,0.8282,0.447,0.3246,0.3679,Control
J04,0.7671,1.2064,0.4603,0.3134,0.747,1.2109,2.1123,1.2378,1.1383,0.6076,0.809,0.4131,0.2753,0.3056,Control
J05,0.5673,0.9724,0.6953,0.3184,0.6814,1.0644,1.4189,0.8424,1.1196,0.4919,0.6491,0.6506,0.1623,0.0629,Control
J06,0.5243,0.9486,0.6875,0.2861,0.6564,0.9496,1.9131,0.6906,0.9509,0.5629,0.6095,0.648,0.0618,0.0814,Control
J07,1.1033,1.3281,0.5501,0.366,0.8802,1.3287,2.4592,1.381,2.1166,0.7866,0.8392,0.3859,0.3418,0.339,Control
J08,0.7442,1.1843,0.4328,0.3062,0.6886,1.1201,1.7056,1.1835,1.1987,0.7232,0.7913,0.4487,0.1983,0.1775,Control
J09,0.4368,0.7626,0.4246,0.2482,0.5922,0.7182,1.801,0.763,0.8155,0.465,0.6328,0.6273,0.1463,0.1753,Control
J10,0.802,1.2269,0.8287,0.3454,0.8099,1.3956,2.3002,1.0255,1.2551,0.6406,0.8393,1.0394,0.2069,0.2683,Control
J11,0.5924,1.1194,0.661,0.3609,0.8306,1.223,2.4064,1.0452,0.9175,0.6162,0.7902,0.8595,0.1871,0.0665,Control
J12,0.4667,0.966,0.6924,0.2665,0.654,1.0737,2.2512,0.7502,1.0442,0.5324,0.6915,0.8633,0.0705,0.1779,Control
K01,0.9238,1.5294,0.8232,0.3728,0.9168,1.4855,2.0316,1.3011,1.7555,0.711,0.8028,0.6619,0.3374,0.2442,BRCACancer
K02,0.8725,1.3931,0.6736,0.3753,0.7762,1.2165,1.9984,1.2407,1.4966,0.6853,0.7974,0.5178,0.2273,0.294,BRCACancer
K03,0.6355,1.2305,0.5673,0.2516,0.6377,1.0905,1.7863,0.8974,0.9096,0.5217,0.6236,0.5478,0.084,0.0518,BRCACancer
K04,0.7617,1.3003,0.5677,0.4189,0.7982,1.3369,2.1739,1.2218,1.2332,0.6898,0.8543,0.5695,0.3731,0.2379,BRCACancer
K05,0.4379,1.1347,0.423,0.3743,0.7101,1.1783,1.9105,1.181,0.9902,0.5961,0.7945,0.4768,0.3135,0.2445,Control
AA3226,1.2598,0.982,0.459,0.1988,0.9169,1.3993,1.7476,1.1083,1.1167,0.5248,0.6953,0.4178,0.1676,0.2162,Control
AB3227,0.7293,1.3198,0.6466,0.2501,0.598,1.1535,1.8232,1.1001,1.0522,0.5383,0.6445,0.5635,0.1353,0.2003,Control
AC3228,0.6614,0.9482,0.441,0.2591,0.6912,1.137,1.8275,0.9067,1.3016,0.5567,0.8066,0.7558,0.2296,0.1104,Control
AD3231,0.6927,1.2463,0.7761,0.3356,0.7061,1.0921,1.8387,1.1132,1.3364,0.6464,0.8523,0.4632,0.1042,0.2365,Control
AE1543,0.7696,1.0558,0.3026,0.3157,0.7375,1.1162,2.3382,0.8344,1.6935,0.6162,0.737,0.3435,0.2712,0.1575,Control
AF3229,0.7887,1.0277,0.5712,0.2478,0.8127,1.2509,1.3653,1.0849,1.3954,0.6707,0.7707,0.5792,0.2971,0.3485,Control
AG3230,0.5299,1.1978,0.4787,0.2716,0.6364,1.1332,1.6174,0.9347,1.2865,0.5759,0.6852,0.5753,0.1258,0.1414,Control
AH3232,0.5169,0.6566,0.3019,0.1604,0.4885,1.0498,1.726,0.6348,1.4987,0.3349,0.755,0.3023,0.0266,0.087,Control
AI3233,0.5914,1.3284,0.8333,0.352,0.6064,1.1544,2.2758,1.0591,0.8285,0.6167,0.6714,0.705,0.2867,0.3582,Control
AJ3234,0.5464,1.2511,0.8092,0.3542,0.6263,1.1438,1.891,0.9664,0.8194,0.5817,0.6968,0.6061,0.1704,0.3041,Control
AK3235,0.6148,1.1469,0.5322,0.2452,0.5536,1.0372,2.0924,0.9541,1.2376,0.5125,0.688,0.5639,0.2074,0.2535,Control
AL3236,0.3993,0.8508,0.3687,0.3069,0.5147,1.0082,1.7907,1.0031,1.1223,0.5169,0.7156,0.3369,0.3486,0.2388,Control
AM3237,0.5366,1.2141,0.6391,0.3453,0.6408,1.2674,2.0383,1.0365,0.9104,0.604,0.818,0.7327,0.3212,0.197,Control
AN757,0.9988,1.1225,0.4962,0.239,0.6966,1.3126,1.8895,0.9625,1.1147,0.5811,0.5871,0.6682,0.2012,0.1293,Control
C474,0.4659,0.9511,0.4016,0.2883,0.8536,1.1709,1.878,0.9444,1.9127,0.5488,0.5436,0.1995,0.2217,0.0703,Control
D480,0.6896,1.333,0.4344,0.2883,0.6827,1.0318,1.9792,0.9572,1.411,0.6009,0.6311,0.3075,0.2044,0.1791,Control
E519,1.0785,0.9124,0.5298,0.4079,0.8471,1.2691,2.1102,1.2734,0.7871,0.8661,0.6369,0.7543,0.2312,0.2703,Control
F548,0.6186,1.1099,0.3646,0.181,0.5599,0.7556,2.2648,0.6812,1.1034,0.3846,0.3787,0.5432,0.0151,0.0769,Control
