@relation data

@attribute id string
@attribute 10560 numeric
@attribute 113235 numeric
@attribute 113278 numeric
@attribute 151056 numeric
@attribute 158835 numeric
@attribute 2346 numeric
@attribute 25974 numeric
@attribute 2694 numeric
@attribute 335 numeric
@attribute 337 numeric
@attribute 338 numeric
@attribute 4363 numeric
@attribute 5406 numeric
@attribute 55788 numeric
@attribute 5948 numeric
@attribute 6573 numeric
@attribute 686 numeric
@attribute 6948 numeric
@attribute 8029 numeric
@attribute 80704 numeric
@attribute 8884 numeric
@attribute 9227 numeric
@attribute 949 numeric
@attribute 9963 numeric
@attribute Class {Control,BRCACancer}

@data
E12,0.228,0.0369,-0.183,0.0744,-0.069,-0.154,0.027,-0.0953,0.0753,0.0087,-0.0446,0.5421,-0.0362,0.8783,-0.0222,0.2497,0.1785,0.1802,0.0537,-0.0425,0.1643,0.0195,-0.0229,0.1157,BRCACancer
F01,0.4234,0.0752,-0.2332,0.1889,-0.2216,-0.189,0.3717,-0.1447,0.1937,0.0535,-0.1406,1.0583,-0.1103,1.217,0.0719,0.5354,0.3779,0.2948,0.2892,-0.0855,0.5504,-0.0246,0.2049,0.2391,Control
F02,0.4741,0.1433,-0.1656,0.1991,-0.1683,-0.1255,0.4298,-0.1081,0.0415,0.1497,-0.0345,0.9183,-0.0242,1.1989,-0.0071,0.5494,0.3689,0.2766,0.2351,-0.0029,0.7552,0.021,0.2225,0.3339,Control
F03,0.5282,0.0781,-0.1859,0.1753,-0.2161,-0.175,0.2898,-0.1467,0.0387,0.0291,-0.0608,0.7284,-0.0635,1.0862,-0.0573,0.3959,0.401,0.4491,0.0163,-0.0544,0.469,0.0546,0.1532,0.232,Control
F04,0.2738,0.0535,-0.1874,0.1598,-0.2424,-0.1978,0.154,-0.1079,0.09,0.1009,-0.0774,0.8925,-0.094,1.0795,0.0049,0.4032,0.2435,0.2885,0.1715,-0.0566,0.3705,-0.0457,0.1597,0.1977,Control
F05,0.3355,0.1483,-0.1011,0.2328,-0.1507,-0.0966,0.2976,-0.1132,0.1719,0.1197,-0.051,0.8158,-0.0137,1.0877,-0.0293,0.4535,0.3208,0.2784,0.1667,-0.0464,0.5226,-0.0202,0.1841,0.2779,Control
F06,0.3343,0.0141,-0.1509,0.1973,-0.1635,-0.1421,0.2213,-0.0339,-0.0274,0.0342,-0.0659,0.675,0.0766,1.0938,0.0266,0.5064,0.2104,0.6606,-0.0152,0.0206,0.2912,0.0058,0.1257,0.2069,Control
F07,0.394,0.0562,-0.0951,0.1216,-0.1382,-0.1636,0.259,-0.0891,0.1098,0.1174,-0.0857,0.875,-0.0724,1.2563,-0.0888,0.4061,0.3214,0.1511,0.4798,-0.0667,0.4868,-0.0547,0.1401,0.1963,Control
F09,0.5585,0.1201,-0.1185,0.2843,-0.1172,-0.1003,0.4966,-0.1167,0.2321,0.2212,-0.0681,0.9077,-0.0487,1.2927,-0.137,0.699,0.4432,0.4433,0.1967,-0.0971,0.7076,-0.069,0.3356,0.263,Control
F10,0.5167,0.2031,-0.1105,0.2181,-0.1469,-0.0366,0.4407,-0.1022,0.1714,0.2113,-0.095,0.9247,-0.0574,1.2858,-0.0796,0.5629,0.3479,0.4559,0.289,-0.051,0.6277,0.019,0.3436,0.1439,Control
F11,0.2627,0.1869,-0.1138,0.1456,-0.1143,-0.1033,0.2705,-0.041,0.1072,0.093,-0.0176,0.7462,-0.0209,1.0632,-0.0983,0.5976,0.3305,0.3743,0.0451,-0.0441,0.4797,0.0173,0.2164,0.2483,Control
F12,0.4252,0.1025,-0.3017,0.1936,-0.215,-0.1925,0.1686,-0.0708,-0.0119,0.0873,-0.0579,0.764,-0.0909,1.3812,-0.0181,0.4906,0.3495,0.2804,0.12,-0.0606,0.3586,-0.0426,0.1794,0.2013,Control
G01,0.18,0.2776,-0.0793,0.2792,-0.1655,-0.1458,0.3592,-0.1178,0.0694,0.0799,-0.0428,0.793,-0.0046,1.1189,0.0125,0.474,0.2482,0.2729,0.0137,-0.0233,0.3366,-0.0428,0.2712,0.2665,Control
G02,0.2486,0.046,-0.0589,0.1074,-0.1493,-0.093,0.11,-0.0725,0.2185,0.166,-0.0655,0.6605,-0.0512,0.9286,-0.002,0.4473,0.1934,0.3485,-0.0356,-0.0779,0.348,-0.0645,0.1106,0.214,Control
G03,0.5092,0.0885,-0.0636,0.2546,-0.1786,-0.2026,0.3822,-0.1198,0.1143,0.0917,-0.1039,0.8704,-0.1079,1.2492,-0.0308,0.4657,0.3804,0.4685,0.1525,-0.0408,0.6262,-0.092,0.1931,0.2852,Control
G04,0.3745,0.1535,-0.0767,0.1696,-0.1132,0.0531,0.3336,-0.0112,0.2417,0.1573,-0.0123,0.8164,-0.0291,1.1997,-0.0888,0.5271,0.2969,0.5061,0.1421,-0.0702,0.6541,-0.0234,0.186,0.1489,BRCACancer
G05,0.0868,0.0421,-0.0379,0.0857,-0.0289,-0.1679,0.0135,-0.0886,0.139,0.1746,-0.0327,0.6237,0.0056,0.7591,-0.0456,0.3401,0.1001,0.0422,0.0381,-0.0657,0.1665,-0.1412,0.0486,0.2104,BRCACancer
G06,0.2914,0.105,-0.0367,0.2814,-0.1623,-0.1311,0.4445,-0.2007,0.0189,0.1248,-0.0477,0.6742,-0.0912,1.3283,0.0034,0.4613,0.3539,0.1832,-0.034,-0.0171,0.4315,-0.0313,0.2205,0.2912,BRCACancer
G07,0.3146,0.028,-0.0492,0.0494,-0.1179,-0.246,0.2184,-0.0462,-0.004,0.1553,-0.0943,0.6672,-0.0582,1.0345,-0.0544,0.3633,0.2639,0.0832,0.2036,-0.0806,0.4127,0.019,5e-04,0.2499,Control
G08,0.4173,0.1586,-0.1447,0.2165,-0.2452,-0.2051,0.2852,-0.0124,0.0289,0.0295,-0.1279,0.87,-0.1437,1.2489,-0.0692,0.4529,0.3305,0.3814,0.1308,-0.0379,0.4485,-0.0029,0.4247,0.1973,Control
G09,0.2472,0.0208,0.028,0.0659,-0.2106,-0.1112,0.0606,-0.0243,0.1535,0.1637,-0.0877,0.5939,0.0108,0.9484,-0.0699,0.4335,0.1023,0.125,0.0267,-0.0663,0.2734,-0.0129,0.0923,0.2234,Control
G10,0.2143,0.0496,-0.1252,0.16,-0.1214,-0.0829,0.2403,-0.0974,-0.0332,0.0874,-0.0191,0.5151,-0.0711,0.9463,0.1528,0.2668,0.2174,0.1103,0.0423,-0.0276,0.405,-0.0455,-0.0407,0.2821,BRCACancer
G11,0.1938,0.1382,0.0442,0.0484,-0.0451,0.087,0.0841,-0.0388,0.0828,0.1668,-0.1205,0.4462,0.0381,0.6323,-0.0602,0.3178,0.1246,0.1003,0.1068,0.0305,0.107,-0.0723,0.0646,0.1599,BRCACancer
G12,0.3103,0.058,-0.1269,0.1251,-0.164,-0.0742,0.2215,-0.0885,0.1089,0.1986,-0.0997,0.6132,-0.0779,1.1066,-0.0673,0.418,0.2519,0.103,0.0336,-0.0743,0.3627,-0.0756,0.0673,0.3126,BRCACancer
H01,0.2995,0.03,-0.071,0.1238,-0.2822,-0.1332,0.1691,-0.0807,-0.028,0.0037,-0.0367,0.5601,-0.135,0.9523,-0.0567,0.3769,0.2128,0.186,-0.038,-0.0046,0.2465,-0.1209,0.0316,0.2315,Control
H02,0.2459,0.1822,-0.0345,0.1235,-0.2018,-0.0252,-0.0408,-0.112,0.1052,0.1644,-0.039,0.7141,0.0867,0.8375,-0.0919,0.4626,0.1651,0.3141,0.0251,-0.0572,0.3915,-0.0144,0.0733,0.1736,Control
H03,0.2575,0.0613,-0.1004,0.1189,-0.1436,-0.1627,0.1175,-0.0562,0.0493,0.1328,-0.0819,0.6784,-0.0203,1.0147,0.0539,0.4,0.2115,0.1186,0.0593,-0.0506,0.3598,-0.008,0.1102,0.241,Control
H04,0.4048,0.0939,-0.0724,0.1953,-0.2451,-0.2181,0.3554,-0.1065,0.1024,0.061,-0.1062,0.8541,-0.0661,1.0295,-0.0233,0.4684,0.3544,0.2516,0.149,0.0136,0.3613,-0.1071,0.2064,0.138,Control
H06,0.2868,0.0949,-0.0767,0.0977,-0.1641,-0.1213,0.1422,-0.0725,0.2164,0.14,-0.0859,0.6977,6e-04,0.9783,-0.034,0.5323,0.2457,0.3805,0.1052,-0.01,0.3094,0.0099,0.2323,0.1989,Control
H07,0.3711,-0.0095,-0.1617,0.1917,-0.1386,-0.2035,0.1904,-0.2042,0.0214,-0.015,-0.1405,0.6527,-0.1057,1.0974,0.0692,0.4317,0.2033,0.3181,0.0599,-0.0319,0.2846,-0.0971,0.1113,0.127,BRCACancer
