@relation data

@attribute id string
@attribute 79023 numeric
@attribute 23511 numeric
@attribute 55746 numeric
@attribute 7514 numeric
@attribute 23279 numeric
@attribute 79902 numeric
@attribute 9883 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 348995 numeric
@attribute 11097 numeric
@attribute 53371 numeric
@attribute 9972 numeric
@attribute 8480 numeric
@attribute 9631 numeric
@attribute 8021 numeric
@attribute 23225 numeric
@attribute 5905 numeric
@attribute 9818 numeric
@attribute 8086 numeric
@attribute 57122 numeric
@attribute 5901 numeric
@attribute 23165 numeric
@attribute 5902 numeric
@attribute 5903 numeric
@attribute 7175 numeric
@attribute 9688 numeric
@attribute 129401 numeric
@attribute 81929 numeric
@attribute 10762 numeric
@attribute Class {Control,BRCACancer}

@data
C07,0.4256,1.0844,0.8472,1.3766,0.9006,0.4754,0.4079,1.0924,1.413,0.8758,0.3858,0.5805,1.2358,0.5979,1.1983,0.8219,1.2061,0.6536,0.9199,0.6118,0.5969,0.6916,1.281,0.1837,2.1302,1.3992,0.5157,0.4075,0.9385,0.6824,Control
C08,0.8118,1.3392,1.0242,1.4794,1.2587,0.5666,0.4822,1.476,1.5684,1.2038,0.4772,0.681,1.3568,0.8018,1.455,1.056,1.2951,0.7175,1.0567,0.9007,0.9321,0.8282,1.3635,0.1165,2.1442,1.6095,0.688,0.5076,1.1834,0.7139,Control
C09,0.534,1.0861,0.8291,1.3074,0.9028,0.488,0.4991,1.1089,1.2857,0.9405,0.3678,0.5972,1.328,0.6228,1.2969,0.8355,1.2499,0.6204,0.8107,0.6648,0.5878,0.5653,1.1929,0.1705,2.0462,1.3596,0.5003,0.2246,0.8561,0.7461,Control
C10,0.4248,0.9859,0.9009,1.2843,0.8592,0.4753,0.392,1.1573,1.2385,1.0639,0.4557,0.631,1.3347,0.5841,1.3245,0.7728,1.3302,0.5949,0.8147,0.5958,0.5371,0.3619,1.2565,0.2032,2.1132,1.4837,0.5136,0.4262,0.8522,0.6238,BRCACancer
C11,0.6893,1.3394,0.9321,1.3649,1.11,0.6886,0.649,1.4048,1.5395,1.0224,0.4871,0.6484,1.351,0.9006,1.2183,1.085,1.3756,0.789,1.0634,0.9142,0.8463,0.8778,1.2934,0.2409,1.9498,1.4838,0.7217,0.4117,1.2054,0.8565,Control
C12,0.3853,0.7568,0.6051,0.9517,0.6488,0.4004,0.4404,1.1241,0.996,0.3896,0.17,0.4505,0.9278,0.5367,0.6871,0.6944,0.9398,0.4881,0.6958,0.5507,0.3814,0.5142,0.7573,0.2278,1.3687,0.9501,0.3809,0.1749,0.7592,0.4687,BRCACancer
D01,0.5537,1.036,0.7663,1.4896,1.0288,0.8135,0.7882,1.2485,1.3695,0.9812,0.5442,0.6619,1.4366,0.6327,1.0044,1.2178,1.3976,0.7972,1.3138,0.8401,0.7127,0.5808,1.1098,0.19,1.8023,1.4997,0.7352,0.5224,0.913,1.0016,BRCACancer
D02,0.5451,1.0888,0.7516,1.1942,1.0073,0.4722,0.489,1.463,1.313,0.8644,0.3575,0.6079,1.3884,0.6837,1.2149,0.9429,1.2433,0.7296,0.9227,0.7425,0.638,0.6994,1.1515,0.123,1.984,1.3758,0.6214,0.3049,1.0279,0.6025,BRCACancer
D03,0.439,1.0509,0.7378,1.2436,0.8188,0.4881,0.4317,1.2466,1.2994,0.8547,0.3014,0.5019,1.2326,0.5667,1.0442,0.8937,1.2662,0.6439,0.8121,0.596,0.5266,0.5765,1.0628,0.1222,1.7247,1.1872,0.5133,0.2752,0.8803,0.6795,BRCACancer
D04,0.5414,1.1695,0.8192,1.1429,1.0186,0.5739,0.5993,1.1476,1.4486,1.0067,0.3374,0.5878,1.2984,0.7656,1.1117,0.9762,1.2667,0.673,1.1383,0.8123,0.6503,0.7877,1.1683,0.2235,1.8492,1.2431,0.6372,0.4181,1.1099,0.7521,BRCACancer
D05,0.4514,1.1219,0.9163,1.3849,0.853,0.5963,0.5228,1.1266,1.3519,1.109,0.4475,0.5925,1.3056,0.6612,1.1781,0.8658,1.2692,0.671,1.0213,0.8265,0.5546,0.6025,1.2215,0.2127,1.9631,1.2678,0.6931,0.2506,0.9439,0.7187,BRCACancer
D06,0.7071,1.3446,1.0337,1.4062,1.1604,0.8057,0.6281,1.4972,1.5562,1.2205,0.6097,0.7052,1.5347,0.8465,1.4303,1.07,1.4327,0.8557,1.1643,1.0559,0.9059,0.7627,1.4201,0.2223,2.0942,1.5683,0.7451,0.4104,1.1792,0.8074,BRCACancer
D07,0.5158,1.2636,0.9264,1.3665,1.0616,0.6771,0.4504,1.2709,1.5055,1.1528,0.5112,0.6844,1.391,0.7375,1.2878,0.9764,1.3416,0.8109,1.0325,0.8474,0.7433,0.912,1.2877,0.282,2.067,1.4384,0.6509,0.3008,1.109,0.7554,Control
D08,0.3469,0.8846,0.6483,1.1447,0.8139,0.4675,0.4908,1.092,1.1607,0.792,0.2545,0.4987,1.0551,0.602,0.8971,0.7319,1.1128,0.6309,0.826,0.6281,0.5641,0.6764,0.9437,0.1272,1.5129,1.0317,0.4554,0.1584,0.8926,0.6216,Control
D09,0.6239,1.2142,0.8991,1.3537,1.0151,0.5981,0.4981,1.3406,1.414,0.9972,0.4786,0.5935,1.2725,0.7661,1.2455,0.928,1.3082,0.685,1.0287,0.9163,0.7084,0.7605,1.2433,0.2689,2.1169,1.5047,0.6572,0.315,1.0761,0.7021,Control
D10,0.8959,1.1009,0.8009,1.1908,0.917,0.6633,0.3743,1.4559,1.4299,0.7747,0.3133,0.5184,1.2106,0.7543,1.031,0.9349,1.0869,0.6284,0.9894,0.6768,0.851,0.8498,1.1214,0.1019,2.0685,1.2736,0.6817,0.3174,1.0275,0.6762,Control
D11,0.1209,0.5072,0.2503,0.6888,0.3958,0.2577,0.3397,0.6726,0.6748,0.3035,-0.058,0.2535,0.7076,0.4,0.4169,0.5579,0.5796,0.3837,0.4344,0.3275,0.261,0.231,0.4809,0.0029,1.0719,0.662,0.2504,0.0362,0.6047,0.559,Control
D12,0.4609,0.9174,0.5721,1.0609,0.8586,0.4604,0.2053,1.1817,1.2366,0.4961,0.1909,0.3573,1.0096,0.7006,0.7344,0.7902,0.938,0.6032,0.7744,0.6618,0.5887,0.5991,0.7787,0.1818,1.6066,1.0139,0.5712,0.182,0.9593,0.6701,Control
E01,0.4876,1.0413,0.7115,1.2311,0.7394,0.4846,0.2312,1.1476,1.268,0.6956,0.3003,0.6103,1.1446,0.6061,1.0267,0.7793,1.2451,0.6112,0.7682,0.681,0.4794,0.6251,1.0897,0.1696,1.7968,1.2462,0.5646,0.1773,0.7671,0.7361,BRCACancer
E02,0.566,1.3125,1.1362,1.5255,1.1021,0.5155,0.6133,1.5394,1.4507,1.3389,0.5531,0.8152,1.5119,0.8179,1.6555,1.0021,1.4571,0.6937,0.999,0.8682,0.783,0.7441,1.5279,0.1608,2.4387,1.7219,0.6824,0.4982,1.2127,0.6329,Control
E03,0.77,1.3021,0.8883,1.2956,1.0712,0.6023,0.4182,1.5432,1.5993,0.9669,0.4089,0.6598,1.294,0.8123,1.2315,0.9929,1.2977,0.7098,1.0601,0.896,0.7494,0.8171,1.2732,0.2679,2.062,1.3614,0.7291,0.3635,1.2138,0.6535,Control
E04,0.6698,1.3947,1.0505,1.4413,1.1915,0.6944,0.6427,1.5876,1.5332,1.3258,0.625,0.7096,1.5227,0.8649,1.3622,1.1047,1.5318,0.8902,1.1716,0.9191,0.8637,0.9909,1.4217,0.2978,2.0402,1.6938,0.6322,0.4894,1.1794,0.8716,Control
E05,0.5791,1.1137,1.0836,1.5174,1.0721,0.5021,0.6186,1.4296,1.3636,1.0214,0.4641,0.6944,1.4713,0.6816,1.4693,0.8986,1.3287,0.5555,0.8683,0.7835,0.6734,0.7468,1.4088,0.1089,2.4077,1.7082,0.5161,0.4761,1.0911,0.6422,Control
E06,0.437,0.7593,0.8246,1.3456,0.7221,0.4294,0.6169,0.8907,1.0443,0.8434,0.2878,0.5476,1.2355,0.6146,1.0164,0.8653,1.0327,0.3815,0.8399,0.529,0.4465,0.3847,0.9954,0.0206,1.8889,1.262,0.5175,0.323,0.7404,0.6797,BRCACancer
E07,0.5697,1.1098,0.8878,1.3902,0.9518,0.6471,0.4509,1.2564,1.3497,1.0365,0.5511,0.5853,1.4263,0.6933,1.1669,0.9692,1.3652,0.6851,1.0125,0.8963,0.667,0.7563,1.2875,0.3572,1.9045,1.5465,0.6248,0.3069,1.167,0.7612,BRCACancer
E08,0.6265,1.3702,1.0407,1.4973,1.1962,0.6781,0.5307,1.4482,1.5656,1.1984,0.5777,0.72,1.4948,0.8004,1.4356,1.0432,1.4918,0.7862,1.1332,1.0021,0.7724,0.7691,1.4442,0.3116,2.191,1.6041,0.7481,0.3957,1.1956,0.8197,Control
E09,0.7822,1.1932,0.9608,1.3497,1.0228,0.6783,0.483,1.4584,1.4835,1.0587,0.4495,0.6552,1.23,0.8402,1.2358,1.0079,1.3221,0.7215,0.9671,0.7961,0.808,0.892,1.2233,0.2256,2.156,1.3174,0.6907,0.3362,1.0565,0.664,BRCACancer
E10,0.7083,1.3696,1.2376,1.6152,1.2718,0.6241,0.7957,1.5558,1.6467,1.3689,0.6672,0.7656,1.5599,0.8358,1.6178,1.1258,1.5435,0.7333,1.2225,0.9198,0.9323,0.8575,1.4448,0.0856,2.4241,1.7801,0.7368,0.5701,1.2053,0.8179,BRCACancer
E11,0.5329,1.0392,0.7665,1.2771,0.9459,0.445,0.4256,1.1874,1.3062,0.7819,0.3235,0.5355,1.2399,0.5598,1.1105,0.8513,1.1951,0.6153,0.8471,0.6875,0.7018,0.759,1.1551,0.1464,1.8681,1.3225,0.5472,0.3006,1.0141,0.6231,Control
E12,0.3266,0.7532,0.6492,1.0891,0.6969,0.3629,0.4333,1.0047,1.0692,0.5465,0.1747,0.3519,1.0963,0.5585,0.734,0.7074,0.9589,0.463,0.6014,0.4999,0.4772,0.4794,0.8871,0.0825,1.5962,1.0219,0.5389,0.2884,0.8028,0.5778,BRCACancer
F01,0.7802,1.4915,1.036,1.4672,1.3132,0.7953,0.5641,1.7023,1.7216,1.2663,0.6369,0.7415,1.4472,0.8425,1.4567,1.2173,1.4544,0.9138,1.2971,1.1236,0.9388,1.0098,1.4653,0.1229,2.1882,1.7158,0.7901,0.4241,1.1973,0.8989,Control
F02,0.7294,1.4316,1.1308,1.519,1.2445,0.8675,0.6476,1.6788,1.6176,1.4313,0.7151,0.7956,1.5562,0.9325,1.5257,1.105,1.5236,0.9101,1.2277,1.0798,0.865,0.8772,1.5154,0.1797,2.2734,1.7476,0.837,0.4857,1.3285,0.8429,Control
