@relation data

@attribute id string
@attribute 941 numeric
@attribute 942 numeric
@attribute 940 numeric
@attribute 5170 numeric
@attribute 1326 numeric
@attribute 79109 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2475 numeric
@attribute 5290 numeric
@attribute 64223 numeric
@attribute 10000 numeric
@attribute 117145 numeric
@attribute 2534 numeric
@attribute 253260 numeric
@attribute 9020 numeric
@attribute 5295 numeric
@attribute 3932 numeric
@attribute 57761 numeric
@attribute Class {Control,BRCACancer}

@data
F05,0.2015,0.7961,1.5372,0.6987,0.6486,0.3404,0.6826,0.7583,0.8589,1.3085,0.4578,0.3725,0.9246,1.1637,1.4407,0.5834,1.2154,1.912,0.1475,Control
F06,0.092,0.8048,0.9503,0.5622,0.5122,0.2813,0.5984,0.5471,0.6998,1.0146,0.3495,0.2957,0.4656,0.9808,1.171,0.4198,0.9194,1.3821,0.1108,Control
F07,0.0959,0.6026,1.9222,0.7675,0.5767,0.4691,0.637,0.7721,0.999,1.4476,0.4764,0.7083,0.9492,1.765,1.796,0.6726,1.44,1.8839,0.2442,Control
F09,0.1015,0.9656,1.6073,0.8279,0.6383,0.403,0.8316,0.837,1.0736,1.4419,0.6673,0.387,0.8042,1.3399,1.5972,0.7244,1.2745,1.9221,0.285,Control
F10,0.141,1.0816,1.6732,0.8048,0.8084,0.4761,0.8031,0.851,1.0599,1.5371,0.5624,0.5174,0.7168,1.5491,1.7148,0.7387,1.4192,1.9224,0.2114,Control
F11,0.2356,0.7266,1.4049,0.7498,0.7793,0.3353,0.7367,0.7592,0.8001,1.1408,0.5554,0.3218,0.349,0.9618,1.2881,0.5566,1.0463,1.7186,0.1995,Control
F12,0.3122,1.1118,1.4604,0.7929,0.7128,0.6067,0.6179,0.6186,0.9233,1.416,0.3138,0.6777,0.5902,1.8726,1.6423,0.638,1.4184,1.658,0.0025,Control
G01,0.067,1.0079,1.2458,0.7747,0.6964,0.3577,0.6276,0.6667,0.8294,1.2117,0.4106,0.3303,0.5625,1.2669,1.3387,0.5649,1.1588,1.1078,-0.0311,Control
G02,0.2859,0.7664,1.2652,0.6527,0.6025,0.2662,0.6282,0.6452,0.6922,1.0169,0.3998,0.2938,0.584,1.0867,1.3193,0.4574,1.01,1.3151,0.1603,Control
G03,0.1731,0.9095,1.8782,0.7841,0.751,0.41,0.6857,0.773,1.0007,1.48,0.4289,0.4989,1.1651,1.4952,1.7112,0.6747,1.4426,1.7747,0.1982,Control
G04,0.1498,0.7324,1.7758,0.6814,0.6204,0.3868,0.7708,0.807,1.0063,1.36,0.6331,0.3572,0.7875,1.137,1.5214,0.6489,1.2702,2.1847,0.2521,BRCACancer
G05,0.1237,0.6812,0.7614,0.5572,0.5462,0.2693,0.4634,0.522,0.5553,0.7323,0.2651,0.3377,0.5104,1.1417,1.0248,0.4484,0.9355,0.9115,-0.1473,BRCACancer
G06,0.2604,1.1851,1.4335,0.6787,0.6284,0.3516,0.594,0.6594,0.9698,1.2154,0.3794,0.4803,0.6702,1.455,1.4827,0.5702,1.2309,1.4712,0.0775,BRCACancer
G07,0.1207,0.4496,1.6063,0.6591,0.568,0.2841,0.562,0.6756,0.644,1.1957,0.4003,0.3401,0.5953,1.1161,1.358,0.5519,1.123,1.7196,0.0244,Control
G08,0.3055,0.9748,1.4712,0.7447,0.7832,0.3865,0.689,0.7859,0.923,1.3234,0.4438,0.4418,0.8697,1.3248,1.5682,0.6558,1.2513,1.5073,0.0786,Control
G09,0.1052,0.6797,1.1426,0.6808,0.6949,0.2756,0.5637,0.6083,0.519,0.942,0.3563,0.2973,0.5491,1.2,1.2051,0.4422,0.9553,1.1657,0.0481,Control
G10,0.1839,0.7102,0.9727,0.5995,0.6348,0.2495,0.4753,0.5848,0.7239,1.0947,0.2823,0.4191,0.4349,1.4096,1.2465,0.3631,1.3084,1.5275,0.0131,BRCACancer
G11,0.139,0.2891,0.752,0.3352,0.4039,0.2498,0.3614,0.4077,0.2707,0.7595,0.224,0.281,0.4408,0.7861,0.9434,0.2884,0.7129,0.8311,-0.015,BRCACancer
G12,0.1316,0.702,1.2355,0.6625,0.61,0.3331,0.4902,0.6856,0.7379,1.175,0.3032,0.4299,0.6936,1.4264,1.5158,0.4553,1.2087,1.4687,0.0351,BRCACancer
H01,0.2476,0.5064,0.9952,0.6771,0.563,0.264,0.4125,0.5712,0.6109,1.1303,0.2212,0.3878,0.6266,1.0269,1.2123,0.412,1.0265,1.1955,0.0334,Control
H02,0.2498,0.4893,1.0473,0.7368,0.6782,0.3105,0.592,0.7519,0.6227,0.8891,0.4588,0.2535,0.4953,0.8907,1.0013,0.5074,0.8541,1.5911,0.19,Control
H03,0.1956,0.5629,1.2495,0.6687,0.6824,0.3647,0.5371,0.615,0.6209,1.1242,0.2824,0.4072,0.483,1.1446,1.2899,0.5025,1.1069,1.3966,-0.0869,Control
H04,0.2135,0.85,1.4934,0.737,0.8279,0.438,0.6757,0.8108,0.7843,1.1544,0.4739,0.4212,0.9528,1.3941,1.4029,0.7286,1.2593,1.5303,0.0845,Control
H06,0.0982,0.7078,1.3086,0.7082,0.7061,0.3138,0.6559,0.7382,0.693,1.0598,0.4581,0.2887,0.6434,1.0932,1.2953,0.5668,0.9508,1.2411,0.2087,Control
H07,0.2303,0.8152,1.5077,0.5674,0.8009,0.3225,0.525,0.668,0.6915,1.0765,0.3286,0.4311,0.7722,1.2986,1.282,0.5211,1.343,1.3616,-0.1217,BRCACancer
H08,0.085,0.8855,0.6513,0.6508,0.7469,0.2846,0.5335,0.5863,0.612,1.0265,0.3168,0.2587,0.1762,1.2214,1.2349,0.3707,0.9775,1.102,-0.0592,BRCACancer
H09,0.1748,0.4076,1.0494,0.5092,0.5627,0.3646,0.3798,0.4779,0.5454,0.9799,0.2156,0.7952,0.5237,1.8475,1.3518,0.3482,1.4679,1.0021,-0.0244,BRCACancer
H10,0.4119,0.7617,1.1096,0.6032,0.6349,0.2954,0.429,0.5427,0.6512,0.9795,0.2617,0.4292,0.5747,1.1814,1.1383,0.492,1.1007,1.0317,-0.0872,BRCACancer
H11,0.2357,1.0485,1.3272,0.6603,0.5467,0.2045,0.5195,0.5423,0.7828,1.2062,0.3187,0.448,0.6537,1.4187,1.4474,0.3508,1.4147,1.6033,-0.0154,BRCACancer
H12,0.1555,1.0702,1.5276,0.7098,0.796,0.4176,0.6417,0.6955,1.0251,1.4627,0.4115,0.4925,0.9222,1.4962,1.7167,0.6512,1.4604,1.744,0.0096,BRCACancer
I01,0.1094,0.8274,1.5463,0.6801,0.8868,0.5081,0.6679,0.7111,1.0552,1.4603,0.4497,0.4871,0.6626,1.9875,1.9274,0.664,1.6038,1.8857,0.1256,Control
I02,0.0878,0.6482,1.6905,0.5661,0.5474,0.3504,0.4167,0.5456,0.7106,1.2314,0.2009,0.6522,0.8783,1.5742,1.5039,0.4742,1.1222,1.3234,-0.1144,Control
I03,0.0508,0.4421,1.2846,0.6436,0.4588,0.2081,0.4284,0.4834,0.4938,1.0264,0.2563,0.3051,0.3758,0.9589,1.1572,0.3358,0.9323,1.4798,0.0087,Control
I04,0.1436,0.8096,1.8505,0.8101,0.7383,0.3204,0.695,0.8892,0.8799,1.3309,0.6222,0.3128,0.657,1.2457,1.5652,0.6568,1.2467,2.1493,0.2592,Control
I05,0.2497,0.5874,1.3445,0.7057,0.5728,0.2681,0.7397,0.779,0.7331,1.0401,0.5709,0.3167,0.5112,0.972,1.1849,0.635,0.8943,1.9174,0.2887,Control
I06,0.2225,0.7817,1.5781,0.6946,0.6688,0.294,0.6583,0.7615,0.8787,1.1778,0.516,0.3328,0.7502,1.2437,1.3642,0.5471,1.1542,1.9159,0.2149,Control
I07,0.1834,0.9315,1.6973,0.8844,0.9513,0.4589,0.8029,0.8966,1.0719,1.3556,0.5166,0.4471,1.1065,1.5074,1.6753,0.8204,1.3229,1.7384,0.2159,Control
I08,0.256,0.9568,1.8281,0.6743,0.6296,0.2832,0.605,0.7233,1.0867,1.4813,0.4701,0.5743,0.8493,1.5981,1.7422,0.6092,1.4088,1.9559,0.0627,Control
I09,0.1853,0.7108,0.9633,0.6145,0.5176,0.3027,0.576,0.6188,0.624,1.0351,0.3353,0.3792,0.5983,1.0811,1.2041,0.4819,0.9783,1.3684,-0.0154,Control
I10,0.1884,0.8795,1.5571,0.7983,0.7287,0.4265,0.6516,0.7789,0.959,1.4543,0.434,0.4583,0.716,1.512,1.6381,0.6538,1.334,1.7393,0.1245,Control
I11,0.1907,0.7406,1.1249,0.5133,0.3088,0.1996,0.3561,0.3864,0.5359,1.0491,0.1889,0.4447,0.6162,1.1131,1.0742,0.2896,1.0526,1.4032,-0.0779,Control
I12,0.135,0.7044,1.6866,0.6744,0.5918,0.2543,0.4871,0.6702,0.7248,1.1461,0.339,0.3872,0.9428,1.224,1.4077,0.4633,1.1547,1.6346,-0.004,Control
I13,0.1365,0.6287,1.5699,0.6639,0.6191,0.3273,0.6782,0.7599,0.8388,1.2221,0.427,0.4502,0.6114,1.2737,1.4867,0.5143,1.1507,1.9781,0.2036,Control
J01,0.0238,0.5689,1.1971,0.6705,0.5178,0.2862,0.5781,0.6042,0.5065,0.948,0.3817,0.3263,0.4298,1.0643,1.0539,0.4645,0.9273,1.3878,0.1812,Control
