@relation data

@attribute id string
@attribute 8517 numeric
@attribute 1147 numeric
@attribute 2033 numeric
@attribute 5970 numeric
@attribute 7124 numeric
@attribute 3551 numeric
@attribute 8841 numeric
@attribute 7132 numeric
@attribute 7189 numeric
@attribute 8772 numeric
@attribute 1387 numeric
@attribute 8737 numeric
@attribute 4790 numeric
@attribute 8717 numeric
@attribute 4792 numeric
@attribute Class {Control,BRCACancer}

@data
G01,0.3414,1.0726,1.9383,1.3726,0.4898,0.8694,0.6384,1.3522,0.7339,0.64,1.3309,1.204,1.2383,0.6932,1.8425,Control
G02,0.3198,0.8832,1.5701,1.2403,0.3369,0.7932,0.6001,1.1862,0.6491,0.6623,1.0978,1.0789,1.04,0.9256,1.9373,Control
G03,0.352,1.3285,1.8293,1.433,0.4869,1.1132,0.8114,1.392,0.8982,0.7718,1.3824,1.5542,1.5063,1.0789,2.0693,Control
G04,0.4569,1.0387,1.6488,1.4204,0.2031,0.927,0.7478,1.1742,0.8175,0.8557,1.2765,1.4173,1.4824,1.0843,2.3517,BRCACancer
G05,0.187,0.7375,1.547,1.0482,-0.0989,0.701,0.3698,0.9073,0.3828,0.3797,1.0448,0.7736,0.8981,0.641,1.7843,BRCACancer
G06,0.1536,0.9253,1.7004,1.2134,0.2878,0.9895,0.6323,1.0997,0.7591,0.6245,1.2456,1.3068,1.4118,0.8938,1.8412,BRCACancer
G07,0.1509,1.061,1.4841,1.1767,-0.0224,0.7782,0.5257,1.0596,0.737,0.5966,1.1834,1.1323,1.1308,0.8962,1.7515,Control
G08,0.3482,1.3486,1.89,1.3516,0.6068,0.9586,0.7379,1.3691,0.7931,0.8135,1.371,1.3784,1.3262,0.8709,1.9129,Control
G09,0.2392,0.8703,1.5766,1.1937,-0.005,0.7179,0.4582,1.2412,0.6972,0.5767,1.1469,0.9588,0.9536,0.7619,1.6462,Control
G10,0.0093,0.9323,1.525,1.1161,0.3085,0.7914,0.5486,0.8856,0.6755,0.4645,1.1103,1.2879,1.0269,0.5507,1.5903,BRCACancer
G11,0.0539,0.6621,1.0615,0.7249,0.0121,0.407,0.3173,0.7268,0.4543,0.4701,0.8313,0.5821,0.8012,0.5225,0.9619,BRCACancer
G12,0.2565,0.9414,1.6483,1.1077,0.3251,0.89,0.6277,1.0088,0.7521,0.5364,1.2607,1.0248,1.1686,0.8526,1.8005,BRCACancer
H01,0.1415,0.8034,1.4906,1.0949,0.3401,0.6888,0.5016,0.9549,0.6516,0.4496,1.1227,0.8847,1.0916,0.6112,1.5279,Control
H02,0.3877,0.9501,1.5813,1.3367,0.1636,0.6331,0.4543,1.2549,0.6478,0.6555,1.2111,0.897,1.0067,0.9287,1.9759,Control
H03,0.1627,1.1096,1.4821,1.1994,0.2744,0.7872,0.5327,1.0388,0.7157,0.6711,1.0907,1.1499,1.1439,0.8027,1.7064,Control
H04,0.2651,1.3205,1.8329,1.4708,0.2302,0.9192,0.6677,1.3546,0.8457,0.8014,1.3597,1.1917,1.2066,1.1784,2.3092,Control
H06,0.2868,1.0447,1.8014,1.4984,0.4487,0.7792,0.5782,1.4302,0.8045,0.69,1.3155,1.1174,1.2184,0.8715,1.9064,Control
H07,0.1102,1.0929,1.6125,1.1863,0.2047,0.7823,0.5844,1.1133,0.7834,0.6822,1.2099,1.0599,1.1535,0.9453,2.324,BRCACancer
H08,0.1012,1.0473,1.6825,1.1341,0.1185,0.7419,0.5122,1.2395,0.5616,0.3124,1.1873,1.0377,1.0231,0.5626,2.7564,BRCACancer
H09,-0.095,0.4949,1.3591,0.8638,-0.0145,0.6755,0.2838,0.5394,0.5129,0.205,1.0587,0.8177,1.0647,0.3995,1.8463,BRCACancer
H10,0.0864,0.7626,1.5511,0.9668,0.2976,0.7006,0.5533,0.9285,0.6592,0.3106,1.1599,0.9237,1.1551,0.5021,2.3838,BRCACancer
H11,0.1265,0.8192,1.2932,0.9974,-0.0682,0.9052,0.7037,0.8931,0.6253,0.3821,0.9598,1.2042,1.232,0.7016,1.8662,BRCACancer
H12,0.3326,1.4553,1.8463,1.3633,0.5334,1.0456,0.7369,1.366,0.8309,0.6917,1.3754,1.5356,1.448,1.0117,1.9472,BRCACancer
I01,0.5035,1.1997,1.9517,1.4904,0.2029,1.0542,0.6534,1.1366,0.9322,0.7564,1.5051,1.4547,1.4967,0.7923,2.1823,Control
