@relation data

@attribute id string
@attribute 55157 numeric
@attribute 79587 numeric
@attribute 5917 numeric
@attribute 6301 numeric
@attribute 57176 numeric
@attribute 51067 numeric
@attribute 16 numeric
@attribute 7453 numeric
@attribute 7965 numeric
@attribute 2193 numeric
@attribute 3035 numeric
@attribute 54938 numeric
@attribute 57038 numeric
@attribute 4677 numeric
@attribute 23395 numeric
@attribute 9521 numeric
@attribute 10056 numeric
@attribute 57505 numeric
@attribute 8565 numeric
@attribute 79731 numeric
@attribute 2617 numeric
@attribute 3735 numeric
@attribute 55699 numeric
@attribute 10352 numeric
@attribute 51520 numeric
@attribute 7407 numeric
@attribute 9255 numeric
@attribute 25973 numeric
@attribute 3376 numeric
@attribute 833 numeric
@attribute 92935 numeric
@attribute 80222 numeric
@attribute 6897 numeric
@attribute 1615 numeric
@attribute 23438 numeric
@attribute 5859 numeric
@attribute 124454 numeric
@attribute 4141 numeric
@attribute 10667 numeric
@attribute 2058 numeric
@attribute Class {Control,BRCACancer}

@data
D12,0.2352,0.3634,0.7779,1.2937,0.079,0.4616,0.6939,1.3409,0.5098,1.1534,0.6405,0.2305,0.4296,0.5603,0.1885,0.0676,0.4379,0.1456,0.6135,0.1585,1.0281,0.3429,0.8919,0.0189,1.0854,0.3053,0.5572,0.4988,0.991,0.3795,0.4389,0.371,0.7456,0.7161,0.5195,1.266,0.1161,1.1106,0.0113,1.0582,Control
E01,0.3392,0.4001,0.9713,1.5625,0.0607,0.5113,0.7065,1.5246,0.6067,1.0225,0.8283,0.1958,0.5297,0.5763,0.2364,-0.0431,0.4386,0.2433,0.6929,0.1076,1.1545,0.3044,1.0354,0.0704,1.3547,0.4104,0.561,0.4508,0.9551,0.3561,0.7317,0.4132,0.9092,0.7602,0.6411,1.5939,0.0527,1.2008,0.0478,1.2661,BRCACancer
E02,0.67,0.5221,1.3311,1.8455,0.3163,0.6794,1.0727,1.5516,1.18,1.2807,1.1497,0.3763,0.8276,0.6273,0.4712,0.2868,0.9006,0.4559,1.0142,0.2232,1.5059,0.4529,1.4371,0.1844,1.8357,0.5902,0.8494,0.6887,1.2286,0.4409,1.2825,0.6556,1.2455,1.1697,1.0265,1.7277,0.2339,1.2482,0.1761,1.6004,Control
E03,0.4713,0.632,1.0247,1.6229,0.2271,0.6761,1.0127,1.9062,0.9151,1.4143,0.7715,0.3739,0.5801,0.5836,0.2824,0.1151,0.5922,0.3167,0.8025,0.2021,1.2495,0.3296,1.2508,0.1234,1.4122,0.5311,0.6835,0.4688,1.2295,0.413,0.8552,0.5492,1.0829,0.8224,0.7341,1.6851,0.2232,1.3962,0.0658,1.3523,Control
E04,0.6133,0.6793,1.2623,1.7978,0.2936,0.7543,1.0779,1.2994,0.9715,1.4253,1.0822,0.4274,0.8128,0.7395,0.3971,0.2319,0.7052,0.6299,1.0566,0.2991,1.4197,0.4982,1.3657,0.1579,1.7244,0.7613,0.9836,0.7036,1.267,0.5077,1.0129,0.6712,1.2182,1.0463,1.0312,1.8171,0.2138,1.4629,0.1155,1.4657,Control
E05,0.5198,0.3755,1.1985,1.656,0.2613,0.5742,0.8133,1.0583,0.86,1.1059,0.9531,0.2146,0.881,0.5646,0.3986,0.2331,0.8289,0.4365,0.8133,0.1785,1.3257,0.3926,1.251,0.186,1.6437,0.4327,0.9548,0.6491,1.2101,0.3566,0.9884,0.6297,1.1445,1.0099,0.8306,1.6058,0.0574,1.1633,0.1481,1.478,Control
E06,0.5455,0.3854,0.9913,1.2895,0.2272,0.2153,0.5784,1.8162,0.8315,0.7911,0.7634,0.0465,0.6154,0.5523,0.3439,0.1017,0.4669,0.1565,0.8024,-0.0256,1.0803,0.2859,0.8752,0.0825,1.1914,0.2877,0.631,0.6415,0.8803,0.3826,0.7066,0.4812,0.8582,0.7395,0.6096,1.3947,0.0262,1.029,0.0903,1.185,BRCACancer
E07,0.4594,0.5938,1.1806,1.6581,0.3195,0.5336,0.8697,1.6604,0.7638,1.2225,0.9121,0.2481,0.7235,0.653,0.3152,0.2277,0.6063,0.4058,0.91,0.101,1.3309,0.399,1.1345,0.102,1.629,0.5885,0.8347,0.5986,1.0863,0.4919,0.7611,0.5884,1.1301,0.9394,0.9112,1.6883,0.1467,1.406,0.0732,1.3178,BRCACancer
E08,0.5732,0.6569,1.2607,1.792,0.2563,0.7245,1.0131,2.0472,0.8754,1.3577,1.0293,0.4132,0.7312,0.6595,0.4012,0.2685,0.7263,0.4193,0.9353,0.2114,1.3908,0.4171,1.2473,0.1583,1.7165,0.6051,0.8876,0.7195,1.2167,0.5069,0.9599,0.6361,1.2135,1.0017,0.905,1.7111,0.2317,1.3896,0.0746,1.4531,Control
E09,0.5451,0.5659,1.2396,1.6359,0.1943,0.7889,0.8705,1.6287,1.203,1.4177,0.9123,0.2707,0.6687,0.5641,0.3538,0.1845,0.7028,0.3655,0.8423,0.1973,1.1723,0.4661,1.3079,0.1207,1.5056,0.5429,0.8548,0.5449,1.1369,0.4173,0.9778,0.5473,1.0675,0.8934,0.8308,1.75,0.1649,1.3243,0.1211,1.354,BRCACancer
