@relation data

@attribute id string
@attribute 10309 numeric
@attribute 8930 numeric
@attribute 4350 numeric
@attribute 23583 numeric
@attribute 4913 numeric
@attribute 5423 numeric
@attribute 328 numeric
@attribute 4968 numeric
@attribute 7515 numeric
@attribute 4595 numeric
@attribute 6996 numeric
@attribute 3980 numeric
@attribute Class {Control,BRCACancer}

@data
I13,0.0403,1.2905,0.2989,0.3991,0.0512,0.478,1.5029,0.4445,0.8676,0.2679,0.4832,0.8248,Control
J01,0.0148,0.8886,0.4257,0.3067,0.0375,0.3844,0.8844,0.3097,0.7019,0.1486,0.3703,0.5526,Control
J02,0.0933,1.2532,0.4106,0.3239,0.0036,0.4286,1.1597,0.3954,0.8365,0.2071,0.603,0.6753,Control
J03,0.0528,1.8236,0.499,0.3305,0.2346,0.7479,1.3801,0.5157,1.1416,0.3253,0.4886,0.9552,Control
J04,0.0719,1.501,0.408,0.3324,0.0175,0.5967,1.3417,0.3733,0.9638,0.2805,0.5889,0.9418,Control
J05,0.0618,1.0417,0.3094,0.241,-0.1612,0.5483,0.945,0.3872,0.7272,0.1589,0.6052,0.7579,Control
J06,-0.1201,1.2954,0.2546,0.4072,-0.0818,0.6684,1.0662,0.399,0.6192,0.2811,0.4799,0.7292,Control
J07,0.0165,1.7519,0.383,0.2917,0.0413,0.8118,1.5038,0.4734,1.0055,0.2975,0.5468,1.0412,Control
J08,0.1511,1.2686,0.345,0.3297,-0.0016,0.5035,1.2033,0.4475,0.8898,0.2358,0.4704,0.8152,Control
J09,-0.0976,1.0895,0.2195,0.248,-0.0718,0.4372,1.0777,0.2547,0.6143,0.2121,0.3549,0.6937,Control
J10,-0.0657,1.568,0.3266,0.219,0.0598,0.665,1.2908,0.4163,0.9001,0.2807,0.8791,1.0256,Control
J11,-0.024,1.265,0.3037,0.4318,0.0062,0.47,1.2295,0.3961,0.7393,0.1996,0.5021,0.8116,Control
J12,-0.0761,1.2359,0.2218,0.3596,-0.0839,0.4796,1.1312,0.3209,0.6515,0.2107,0.5217,0.7398,Control
K01,-0.0167,1.5863,0.3313,0.4325,0.0623,1.0142,1.3445,0.5235,0.9704,0.3012,0.6989,1.0174,BRCACancer
K02,0.02,1.6356,0.3996,0.359,0.0548,0.8111,1.3957,0.5196,0.8991,0.2542,0.4862,1.0326,BRCACancer
K03,-0.115,1.3113,0.2928,0.3808,-0.0448,0.7037,1.0532,0.3757,0.6977,0.2002,0.6817,0.8782,BRCACancer
K04,0.0377,1.4599,0.43,0.4195,0.0318,0.6874,1.2964,0.4803,0.9429,0.2868,0.6418,1.0234,BRCACancer
K05,0.0955,1.2793,0.4886,0.3013,0.0537,0.5253,1.1084,0.3695,0.9196,0.2386,0.4782,0.8047,Control
AA3226,-0.0068,1.2774,0.4292,0.3026,0.0726,0.736,1.0991,0.1932,0.7626,0.2519,0.7426,0.6124,Control
AB3227,-0.0553,1.232,0.284,0.4221,0.0062,0.7663,1.0925,0.4758,0.9785,0.2355,0.5745,0.9934,Control
AC3228,0.0711,1.6889,0.2827,0.256,-0.0881,0.4918,1.3344,0.3137,0.6918,0.3812,0.6493,0.7551,Control
AD3231,-0.0463,1.4575,0.1911,0.3513,-0.0825,0.7152,0.9061,0.4299,0.9327,0.3471,0.7,1.0267,Control
AE1543,0.0809,1.2175,0.4016,0.3966,0.0153,0.5374,1.4566,0.3191,0.7619,0.2261,0.58,0.788,Control
AF3229,-0.0965,1.682,0.3912,0.3274,-0.0707,0.7757,0.7745,0.2548,0.7163,0.2984,0.6177,0.6318,Control
AG3230,-0.0197,1.4206,0.344,0.3055,-0.0373,0.5554,1.2388,0.3019,0.8115,0.2853,0.6555,0.7409,Control
AH3232,-0.0138,1.073,0.2762,0.2709,-0.0231,0.3833,0.8718,0.2784,0.5694,0.1491,0.5112,0.9232,Control
AI3233,-0.0296,1.5067,0.2756,0.4772,0.0735,0.6649,1.2885,0.5509,0.8562,0.2579,0.4955,0.9553,Control
AJ3234,0.0408,1.5071,0.2989,0.4497,0.0941,0.7008,0.9853,0.5451,0.8905,0.1416,0.3779,0.8498,Control
AK3235,0.1112,1.687,0.2824,0.3406,-0.0833,0.6621,1.2448,0.4562,0.8687,0.2518,0.6006,0.8846,Control
AL3236,-0.0446,1.6842,0.226,0.3472,-0.003,0.3264,1.1793,0.4024,0.7571,0.2024,0.472,0.9634,Control
AM3237,-0.1394,1.451,0.4513,0.402,0.0888,0.7753,1.1896,0.4729,1.0432,0.2203,0.7191,1.0328,Control
AN757,-0.0212,1.3777,0.3275,0.268,-0.0436,0.4331,1.4026,0.2975,0.696,0.3015,0.602,0.746,Control
C474,0.1604,0.883,0.4369,0.3069,-0.0298,0.411,1.2387,0.2712,0.5897,0.1864,0.3475,0.6495,Control
D480,0.107,0.9721,0.3657,0.2251,-0.0264,0.6712,1.0811,0.3481,0.614,0.2147,0.4199,0.7371,Control
E519,-0.0696,1.2679,0.3967,0.4091,0.1581,0.678,1.2316,0.3449,0.7869,0.1393,0.4745,0.7517,Control
F548,-0.0399,1.0815,0.3194,0.312,0.029,0.7,1.3273,0.268,0.2555,0.1237,0.4141,0.5161,Control
G660,0.1321,1.0009,0.4605,0.2463,0.0105,0.5128,0.6994,0.325,0.9228,0.2482,0.1306,0.6333,Control
H663,-0.0736,1.1696,0.4214,0.4226,-0.0807,0.4705,1.124,0.3159,0.8135,0.2199,0.6955,0.8554,Control
I782,-0.029,1.2362,0.3404,0.3979,-0.0227,0.3326,1.2928,0.3112,0.6594,0.2111,0.5465,1.0029,Control
